fafb_type	hemibrain_type	hemibrain_type_fafb	fafb_type_nt	fafb_type_confidence	hemibrain_type_nt	hemibrain_type_confidence	known_nt	known_nt_source	FBbt_id	FBbt_name	FBbt_nts	notes	FBbt_definition
MBON15	MBON15		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Aso et al., 2014"	FBbt:00111010	mushroom body output neuron 15	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0227179""]},""value"":""A cholinergic mushroom body output neuron whose dendrites arborize unilaterally in alpha' lobe slice 1 (Aso et al., 2014), with thin dendritic branches projecting through the edge of the alpha' lobe slices 2 and 3 (Aso et al., 2014). Its axon projects to the contralateral hemisphere, sharing a tract with MBONs 16 and 17, terminating in the superior intermediate and lateral protocerebrum, and lateral horn (Aso et al., 2014). There are 4 neurons of this type in each hemisphere, forming two different connectivity patterns (Li et al., 2020). At least one of these subtypes comprises two DL1 (CP2) secondary neurons (Truman et al., 2023).""}]"
MBON15-like	MBON15-like		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Aso et al., 2014"	FBbt:00111010	mushroom body output neuron 15	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0227179""]},""value"":""A cholinergic mushroom body output neuron whose dendrites arborize unilaterally in alpha' lobe slice 1 (Aso et al., 2014), with thin dendritic branches projecting through the edge of the alpha' lobe slices 2 and 3 (Aso et al., 2014). Its axon projects to the contralateral hemisphere, sharing a tract with MBONs 16 and 17, terminating in the superior intermediate and lateral protocerebrum, and lateral horn (Aso et al., 2014). There are 4 neurons of this type in each hemisphere, forming two different connectivity patterns (Li et al., 2020). At least one of these subtypes comprises two DL1 (CP2) secondary neurons (Truman et al., 2023).""}]"
MBON18	MBON18		acetylcholine	0.98	acetylcholine	0.545	acetylcholine	"Aso et al., 2014"	FBbt:00110101	mushroom body output neuron 18	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0214029"",""FlyBase:FBrf0240600"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0243986"",""FlyBase:FBrf0228475""]},""value"":""A mushroom body ventral lobe arborizing neuron 2 that innervates across the shaft of the alpha lobe (slice 2) in the surface and core layers of the ipsilateral mushroom body and projects bilaterally to the superior intermediate protocerebrum, superior lateral protocerebrum and dorsal lateral horn. There is one neuron of this type in each hemisphere (Aso et al., 2014; Li et al., 2020; Truman et al., 2023) and it is a DL1 (CP2) secondary neuron (Truman et al., 2023). It outputs onto the lateral horn output neurons PD2a1 and PD2b1 (Dolan et al., 2018). It is involved in food odor attraction (Sayin et al., 2019), as well as short and medium term aversive memory (Bouzaiane et al., 2015).""}]"
MBON19	MBON19		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Aso et al., 2014"	FBbt:00111011	mushroom body output neuron 19	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0227179""]},""value"":""A cholinergic neuron whose dendrites arborize unilaterally in the posterior layer of alpha lobe slices 2 and 3 and projects to the superior medial protocerebrum. There are two of these per hemisphere (Li et al., 2020; Truman et al., 2023) and they are DL1 (CP2) secondary neurons (Truman et al., 2023).""}]"
MBON14	MBON14		acetylcholine	0.83	dopamine	0.39	"acetylcholine, sparkly"	"Aso et al., 2014; Aso et al. 2019"	FBbt:00100238	mushroom body output neuron 14	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0236302"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0223306"",""FlyBase:FBrf0248476""]},""value"":""Cholinergic neuron whose cell body is located in the dorsal-most area of the subesophageal ganglion, ventromedial to the antennal lobe of the adult brain (Tanaka et al., 2008; Aso et al., 2014). The cell body fiber ascends through the median bundle to the level of the gamma lobe, and then projects towards the tip of the alpha lobe (slice 3) where it forms a dense dendritic arborization (Tanaka et al., 2008; Aso et al., 2014). On the way to the alpha lobe, the axon branches off forming terminals in the superior medial, intermediate and lateral protocerebrum (Tanaka et al., 2008; Aso et al., 2014). There are two neurons of this type per hemisphere (Tanaka et al., 2008; Aso et al., 2014; Li et al., 2020; Truman et al., 2023) and they are secondary FLAa2 (BAmas1) neurons (Truman et al., 2023). It is involved in multiple stages of reward and punishment memory (Ichinose et al., 2021). It is also involved in long-term memory formation and it synapses onto the dorsal anterior lateral neurons of the protocerebrum (Wu et al., 2017).""}]"
MBON16	MBON16		acetylcholine	0.98	acetylcholine	0.94	"acetylcholine, amnesiac, allatostatin-c, Dh44"	"Aso et al., 2014; Aso et al. 2019"	FBbt:00111063	mushroom body output neuron 16	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0214029"",""FlyBase:FBrf0227179""]},""value"":""Subtype of the mushroom body ventral lobe arborizing neuron 2 alpha'. It arborizes in the alpha' slice 3 anterior-posterior domain and its axon projects to a region ventral to the lateral horn. There is one of these cells per hemisphere (Li et al., 2020; Truman et al., 2023) and it is a DL1 (CP2) secondary neuron (Truman et al., 2023).""}]"
MBON17	MBON17		acetylcholine	0.98	acetylcholine	0.94	"acetylcholine, amnesiac, allatostatin-c, Dh44"	"Aso et al., 2014; Aso et al. 2019"	FBbt:00111064	mushroom body output neuron 17	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0214029"",""FlyBase:FBrf0227179""]},""value"":""Subtype of the mushroom body ventral lobe arborizing neuron 2 alpha'. It arborizes in the alpha' slice 3 middle domain and its axon projects to the lateral horn. There are two of these neurons per hemisphere (Aso et al., 2014; Truman et al., 2023), forming two connectivity patterns (Li et al., 2020). They are DL1 (CP2) secondary neurons (Truman et al., 2023).""}]"
MBON17-like	MBON17-like		acetylcholine	0.98	acetylcholine	0.94	"acetylcholine, amnesiac, allatostatin-c, Dh44"	"Aso et al., 2014; Aso et al. 2019"	FBbt:00111064	mushroom body output neuron 17	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0255928"",""FlyBase:FBrf0214029"",""FlyBase:FBrf0227179""]},""value"":""Subtype of the mushroom body ventral lobe arborizing neuron 2 alpha'. It arborizes in the alpha' slice 3 middle domain and its axon projects to the lateral horn. There are two of these neurons per hemisphere (Aso et al., 2014; Truman et al., 2023), forming two connectivity patterns (Li et al., 2020). They are DL1 (CP2) secondary neurons (Truman et al., 2023).""}]"
KCab	KCab-m|KCab-s|KCab-c	KCab-m	dopamine	0.8266	dopamine	0.78	"acetylcholine, Nplp1, sNPF, sparkly"	Barnstedt et al. 2016; Aso et al. 2019	FBbt:00100248	alpha/beta Kenyon cell	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0231313"",""FlyBase:FBrf0235353"",""FlyBase:FBrf0111409""]},""value"":""Mushroom body neuron that bifurcates at the anterior end of the pedunculus and projects into the alpha and beta lobes of the adult mushroom body (Lee et al., 1999). The alpha/beta neurons are the last born of the Kenyon cells, generated during the pupal stage (Lee et al., 1999). In the pedunculus, the alpha/beta neurons occupy the core stratum with the alpha'/beta' neurons in the intermediate stratum and the gamma neurons at the periphery (Tanaka et al., 2008; Li et al., 2020). They are cholinergic neurons (Pankova & Borst, 2017; Barnstedt et al., 2016). There are around 900-1000 of these cells per hemisphere (Aso et al., 2014; Li et al., 2020).""}]"
KCab	KCab-m|KCab-s|KCab-c	KCab-c	dopamine	0.8266	dopamine	0.78	"acetylcholine, Nplp1, sNPF, sparkly"	Barnstedt et al. 2016; Aso et al. 2019	FBbt:00110929	alpha/beta core Kenyon cell	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0162233"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0174482"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0236382""]},""value"":""Alpha/beta mushroom body neuron that has dendrites in the main calyx, with its axons occupying the core layer of the peduncle, alpha and beta lobes (Strausfeld et al., 2003; Tanaka et al., 2008). They can be subdivided into inner and outer core cells (Tanaka et al., 2008; Takemura et al., 2017). There are around 400 of these neurons in each hemisphere (Aso et al., 2014; Takemura et al., 2017).""}]"
KCab	KCab-m|KCab-s|KCab-c	KCab-s	dopamine	0.8266	dopamine	0.78	"acetylcholine, Nplp1, sNPF, sparkly"	Barnstedt et al. 2016; Aso et al. 2019	FBbt:00110930	alpha/beta surface Kenyon cell	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0162233"",""FlyBase:FBrf0174482"",""FlyBase:FBrf0227179""]},""value"":""Alpha/beta mushroom body neuron that has dendrites in the main calyx and projects axons to the surface layer of the alpha and beta lobes, where they form a continuous layer surrounding the alpha/beta core (Aso et al., 2014). There are around 500 of these neurons in each hemisphere (Aso et al., 2014; Takemura et al., 2017).""}]"
KCab-p	KCab-p		dopamine	0.83	dopamine	0.78	"acetylcholine, Nplp1, sNPF, sparkly"	Barnstedt et al. 2016; Aso et al. 2019	FBbt:00110931	alpha/beta posterior Kenyon cell	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0205263"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0236382"",""FlyBase:FBrf0201372""]},""value"":""Alpha/beta mushroom body neuron that has its dendrites in the dorsal accessory calyx, with no arborization in the main calyx (Aso et al., 2014; Li et al., 2020). It occupies the outermost stratum and the posterior layer at the tip of the alpha and beta lobes (Tanaka et al., 2008). In the shaft region of the alpha lobe, alpha/beta posterior Kenyon cell form mesh-like arrangements, with one or two nodes where axons appear to gather. In the pedunculus, their axons form several bundles, which run through the outermost layer of the central zone. They are the first-born alpha/beta Kenyon cells (Aso et al., 2014). There are around 60-90 of these neurons in each hemisphere (Aso et al., 2014; Takemura et al., 2017; Li et al., 2020). They receive visual input in the dorsal accessory calyx, but this is mainly from local visual interneurons, rather than visual projection neurons (Li et al., 2020).""}]"
KCg-d	KCg-d		dopamine	0.822	dopamine	0.78	"acetylcholine, sNPF, sparkly"	Barnstedt et al. 2016; Aso et al. 2019	FBbt:00110932	gamma dorsal Kenyon cell	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0248215"",""FlyBase:FBrf0207600"",""FlyBase:FBrf0227179"",""FlyBase:FBrf0244935""]},""value"":""Gamma Kenyon cell of the adult with its dendrites in the ventral accessory calyx and its axon following the dorsal layer of the gamma lobe (Aso et al., 2014). It projects through the most peripheral layer of the pedunculus, and then ventral anterior parts of gamma lobe slices 1 to 4, terminating in a dorsal region of slice 5 (Aso et al., 2014). There are around 100 neurons of this subtype per hemisphere (Li et al., 2020). Their dendrites do not have the claw-like morphology seen in the main calyx and their main inputs are from visual projection neurons (Li et al., 2020). They are cholinergic neurons (Davis et al., 2020).""}]"
aSP-g1	aSP-g1		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Dolan et al. 2019	FBbt:00049330	adult fruitless aSP-g1 (female) neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0256726"",""FlyBase:FBrf0242628"",""FlyBase:FBrf0246460""]},""value"":""Adult fruitless neuron of the female aSP-g cluster belonging to a morphological subtype with relatively anterior dendritic arborization (Taisz et al., 2023). It is a lateral horn output neuron that fasciculates with the AD1 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019; Bates et al., 2020). There are around three of these cells per hemisphere (Taisz et al., 2023) and they are cholinergic (Dolan et al., 2019; Bates et al., 2020).""}]"
LHAD1a2	LHAD1a2		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Dolan et al. 2019	FBbt:00049319	adult lateral horn AD1a2 neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0242628""]},""value"":""Adult lateral horn output neuron that fasciculates with the AD1 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019). These neurons are cholinergic (Dolan et al., 2019).""}]"
LHAD1d1	LHAD1d1		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Dolan et al. 2019	FBbt:00049325	adult lateral horn AD1d1 neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0242477"",""FlyBase:FBrf0249560"",""FlyBase:FBrf0246460""]},""value"":""Adult lateral horn output neuron that fasciculates with the AD1 primary neurite tract (Dolan et al., 2019). It is a secondary neuron that is part of the DPLal2 (LHl2) medial hemilineage (Bates et al., 2020). There are approximately 1-4 of these neurons per hemisphere and they are cholinergic (Dolan et al., 2019; Schlegel et al., 2021).""}]"
LHAD1d2	LHAD1d2		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Dolan et al. 2019	FBbt:00051057	adult lateral horn AD1d2 neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0249560"",""http://neuprint.janelia.org/?dataset=hemibrain:v1.1""]},""value"":""Adult lateral horn output neuron that fasciculates with the AD1 primary neurite tract (Schlegel et al., 2021). Its soma is found in the anterodorsal part of the border between the lateral horn and superior lateral protocerebrum. Its main input region is the lateral horn and a branch extends medially to the superior intermediate and medial protocerebra, which are predominantly output regions. It is a secondary neuron that is part of the LHl2 (DPLal2) medial hemilineage (Schlegel et al., 2021). There are approximately 2-3 of these cells per hemisphere and they are cholinergic (Schlegel et al., 2021).""}]"
LHAV2b11	LHAV2b11		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Dolan et al. 2019	FBbt:00051636	adult lateral horn AV2b11 neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0249560"",""FlyBase:FBrf0256726""]},""value"":""Adult lateral horn output neuron that fasciculates with the AV2 primary neurite tract (Schlegel et al., 2021). There is around one of these cells per hemisphere (Schlegel et al., 2021) and it is cholinergic (Taisz et al., 2023).""}]"
pC1a	pC1a		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Palavicino-Maggio et al. 2019	FBbt:00049922	adult doublesex pC1a (female) neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0245074""]},""value"":""Adult doublesex pC1 neuron of the female that, similar to pC1d and pC1e, has a contralateral projection that extends further laterally than that of pC1b and pC1c and lacks a characteristic branch into the dorsal ipsilateral superior lateral protocerebrum (Wang et al., 2020). Its contralateral branch crosses the midline at the level of the superior medial protocerebrum (Wang et al., 2020). Unlike pC1d and pC1e, it does not project ventromedially towards the esophageal foramen (Wang et al., 2020). It is strongly synapsed by and activated by sex peptide abdominal ganglion neurons (Wang et al., 2020).""}]"
pC1b	pC1b		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Palavicino-Maggio et al. 2019	FBbt:00049923	adult doublesex pC1b (female) neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0245074""]},""value"":""Adult doublesex pC1 neuron of the female that, similar to pC1c, has a relatively short contralateral projection compared to pC1a, pC1d and pC1e and has a characteristic branch into the dorsal ipsilateral superior lateral protocerebrum (Wang et al., 2020). Its contralateral branch crosses the midline at the level of the superior medial protocerebrum, but unlike pC1c, it does not have a ventrally-directed branch on each side of this crossing point (Wang et al., 2020).""}]"
pC1c	pC1c		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Palavicino-Maggio et al. 2019	FBbt:00049924	adult doublesex pC1c (female) neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0245074""]},""value"":""Adult doublesex pC1 neuron of the female that, similar to pC1b, has a relatively short contralateral projection compared to pC1a, pC1d and pC1e and has a characteristic branch into the dorsal ipsilateral superior lateral protocerebrum (Wang et al., 2020). Its contralateral branch crosses the midline at the level of the superior medial protocerebrum, but unlike pC1b, it has a ventrally-directed branch on each side of this crossing point (Wang et al., 2020).""}]"
pC1d	pC1d		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Palavicino-Maggio et al. 2019	FBbt:00049925	adult doublesex pC1d (female) neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0254226"",""FlyBase:FBrf0245074""]},""value"":""Adult doublesex pC1 neuron of the female that, similar to pC1a and pC1e, has a contralateral projection that extends further laterally than that of pC1b and pC1c and lacks a characteristic branch into the dorsal ipsilateral superior lateral protocerebrum (Wang et al., 2020). Its contralateral branch crosses the midline at the level of the superior medial protocerebrum (Wang et al., 2020). Unlike pC1a, it projects ventromedially towards the esophageal foramen, with more extensive and more ventral arborization than pC1e (Wang et al., 2020). It is cholinergic (Baker et al., 2022).""}]"
pC1e	pC1e		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	Palavicino-Maggio et al. 2019	FBbt:00049926	adult doublesex pC1e (female) neuron	[cholinergic neuron]		"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0254226"",""FlyBase:FBrf0245074""]},""value"":""Adult doublesex pC1 neuron of the female that, similar to pC1a and pC1d, has a contralateral projection that extends further laterally than that of pC1b and pC1c and lacks a characteristic branch into the dorsal ipsilateral superior lateral protocerebrum (Wang et al., 2020). Its contralateral branch crosses the midline at the level of the superior medial protocerebrum (Wang et al., 2020). Unlike pC1a it projects ventromedially towards the esophageal foramen, but has less extensive arborization and does not extend as far ventrally as pC1d (Wang et al., 2020). It is cholinergic (Baker et al., 2022).""}]"
M_lPNm11A	M_lPNm11A		acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Tanaka et al., 2012"	FBbt:00049725	adult antennal lobe projection neuron VP4++ lPN	[cholinergic neuron]	cell type not in paper	"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246456""]},""value"":""Adult antennal lobe projection neuron from the lateral antennal lobe (ALl1) neuroblast dorsal hemilineage with dendrites that mainly innervate antennal lobe glomerulus VP4, but also have substantial arborization in other glomeruli (Marin et al., 2020). A projection also crosses the midline to innervate the contralateral antennal lobe (Marin et al., 2020). It fasciculates with the medial antennal lobe tract and reaches the lateral horn, then turns ventrally and descends to the inferior posterior slope (Marin et al., 2020). There are around three of these per hemisphere and they are cholinergic (Marin et al., 2020).""}]"
VC3_adPN	VC3l_adPN	VC3l_adPN	acetylcholine	0.98	acetylcholine	0.94	acetylcholine	"Tanaka et al., 2012"	FBbt:00100387	adult antennal lobe projection neuron VC3 adPN	[cholinergic neuron]	cell type not in paper	"[{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0211729"",""FlyBase:FBrf0246460""]},""value"":""Adult uniglomerular antennal lobe projection neuron from the ad neuroblast lineage with dendrites that mainly innervate antennal lobe glomerulus VC3. Neurons of this class are derived from the 17th larval division of the neuroblast ALad1 (FBbt:00067346) (Yu et al., 2010). There are around four of these per hemisphere, they fasciculate with the medial antennal lobe tract and they are cholinergic (Bates et al., 2020).""}]"
