FBbt_id	FBbt_name	gene_id	gene_name	definition
FBbt:00003763	l-LNv neuron	FBgn0025680	cry	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0134807"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0151380"",""FlyBase:FBrf0101921"",""FlyBase:FBrf0183981""]},""value"":""Neuron of the period-expressing LNv cluster of the adult brain, with a large cell body and generally located more dorsally than the s-LNv neurons (Helfrich-Forster, 1998). There are four of these cells present in each cluster, all of which express Pdf (FBgn0023178). These neurons send dendrites through the posterior optic commissure to the contralateral optic lobe, where a few short fibers terminate in the accessory medulla, but most arborize extensively in the medulla itself (Helfrich-Forster, 2005; Helfrich-Forster et al., 2007). These arborizations in the medulla are associated with varicosities. These cells also project to the ipsilateral (adjacent) accessory medulla and its ventral extension, where they arborize extensively.""}']"
FBbt:00003763	l-LNv neuron	FBgn0036260	Rh7	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0134807"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0151380"",""FlyBase:FBrf0101921"",""FlyBase:FBrf0183981""]},""value"":""Neuron of the period-expressing LNv cluster of the adult brain, with a large cell body and generally located more dorsally than the s-LNv neurons (Helfrich-Forster, 1998). There are four of these cells present in each cluster, all of which express Pdf (FBgn0023178). These neurons send dendrites through the posterior optic commissure to the contralateral optic lobe, where a few short fibers terminate in the accessory medulla, but most arborize extensively in the medulla itself (Helfrich-Forster, 2005; Helfrich-Forster et al., 2007). These arborizations in the medulla are associated with varicosities. These cells also project to the ipsilateral (adjacent) accessory medulla and its ventral extension, where they arborize extensively.""}']"
FBbt:00003764	s-LNv Pdf neuron	FBgn0003068	per	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0231110"",""FlyBase:FBrf0235909"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0243753"",""FlyBase:FBrf0191052"",""FlyBase:FBrf0225654"",""FlyBase:FBrf0226303"",""FlyBase:FBrf0179342"",""FlyBase:FBrf0246021"",""FlyBase:FBrf0209462""]},""value"":""Adult s-LNv neuron that expresses Pdf (FBgn0023178). There are four of these in each ventral cluster of LNs. Short, fine fibers lacking presynaptic sites contact the accessory medulla, whilst longer processes project toward the dorsal protocerebrum and terminate dorsofrontal to the mushroom body calyx close to the pars lateralis and close to the DN2 neurons (Helfrich-Forster et al., 2007). Thes dorsal arbors contain both pre- and postsynaptic connections, including reciprocal connections to DN1p neurons (Yasuyama and Meinertzhagen, 2010, Fernandez et al., 2020), and their morphology and connectivity vary throughout the day (Gorostiza et al., 2014). Pdf rich dense-synaptic vesicles accumulate in terminal varicosities in these cells, but are not associated with presynaptic sites (Miskiewicz et al., 2004; Yasuyama and Meinertzhagen, 2010). They can be observed docked at the plasma membrane, suggesting paracrine release of Pdf. They drive the morning locomotor activity peak (Liang et al., 2016; Liang et al., 2017; Delventhal et al., 2019) and display a morning neural activity peak that precedes this increased locomotor activity (Liang et al., 2016).""}']"
FBbt:00003764	s-LNv Pdf neuron	FBgn0014396	tim	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0231110"",""FlyBase:FBrf0235909"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0243753"",""FlyBase:FBrf0191052"",""FlyBase:FBrf0225654"",""FlyBase:FBrf0226303"",""FlyBase:FBrf0179342"",""FlyBase:FBrf0246021"",""FlyBase:FBrf0209462""]},""value"":""Adult s-LNv neuron that expresses Pdf (FBgn0023178). There are four of these in each ventral cluster of LNs. Short, fine fibers lacking presynaptic sites contact the accessory medulla, whilst longer processes project toward the dorsal protocerebrum and terminate dorsofrontal to the mushroom body calyx close to the pars lateralis and close to the DN2 neurons (Helfrich-Forster et al., 2007). Thes dorsal arbors contain both pre- and postsynaptic connections, including reciprocal connections to DN1p neurons (Yasuyama and Meinertzhagen, 2010, Fernandez et al., 2020), and their morphology and connectivity vary throughout the day (Gorostiza et al., 2014). Pdf rich dense-synaptic vesicles accumulate in terminal varicosities in these cells, but are not associated with presynaptic sites (Miskiewicz et al., 2004; Yasuyama and Meinertzhagen, 2010). They can be observed docked at the plasma membrane, suggesting paracrine release of Pdf. They drive the morning locomotor activity peak (Liang et al., 2016; Liang et al., 2017; Delventhal et al., 2019) and display a morning neural activity peak that precedes this increased locomotor activity (Liang et al., 2016).""}']"
FBbt:00003764	s-LNv Pdf neuron	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0231110"",""FlyBase:FBrf0235909"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0243753"",""FlyBase:FBrf0191052"",""FlyBase:FBrf0225654"",""FlyBase:FBrf0226303"",""FlyBase:FBrf0179342"",""FlyBase:FBrf0246021"",""FlyBase:FBrf0209462""]},""value"":""Adult s-LNv neuron that expresses Pdf (FBgn0023178). There are four of these in each ventral cluster of LNs. Short, fine fibers lacking presynaptic sites contact the accessory medulla, whilst longer processes project toward the dorsal protocerebrum and terminate dorsofrontal to the mushroom body calyx close to the pars lateralis and close to the DN2 neurons (Helfrich-Forster et al., 2007). Thes dorsal arbors contain both pre- and postsynaptic connections, including reciprocal connections to DN1p neurons (Yasuyama and Meinertzhagen, 2010, Fernandez et al., 2020), and their morphology and connectivity vary throughout the day (Gorostiza et al., 2014). Pdf rich dense-synaptic vesicles accumulate in terminal varicosities in these cells, but are not associated with presynaptic sites (Miskiewicz et al., 2004; Yasuyama and Meinertzhagen, 2010). They can be observed docked at the plasma membrane, suggesting paracrine release of Pdf. They drive the morning locomotor activity peak (Liang et al., 2016; Liang et al., 2017; Delventhal et al., 2019) and display a morning neural activity peak that precedes this increased locomotor activity (Liang et al., 2016).""}']"
FBbt:00003764	s-LNv Pdf neuron	FBgn0025680	cry	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0231110"",""FlyBase:FBrf0235909"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0243753"",""FlyBase:FBrf0191052"",""FlyBase:FBrf0225654"",""FlyBase:FBrf0226303"",""FlyBase:FBrf0179342"",""FlyBase:FBrf0246021"",""FlyBase:FBrf0209462""]},""value"":""Adult s-LNv neuron that expresses Pdf (FBgn0023178). There are four of these in each ventral cluster of LNs. Short, fine fibers lacking presynaptic sites contact the accessory medulla, whilst longer processes project toward the dorsal protocerebrum and terminate dorsofrontal to the mushroom body calyx close to the pars lateralis and close to the DN2 neurons (Helfrich-Forster et al., 2007). Thes dorsal arbors contain both pre- and postsynaptic connections, including reciprocal connections to DN1p neurons (Yasuyama and Meinertzhagen, 2010, Fernandez et al., 2020), and their morphology and connectivity vary throughout the day (Gorostiza et al., 2014). Pdf rich dense-synaptic vesicles accumulate in terminal varicosities in these cells, but are not associated with presynaptic sites (Miskiewicz et al., 2004; Yasuyama and Meinertzhagen, 2010). They can be observed docked at the plasma membrane, suggesting paracrine release of Pdf. They drive the morning locomotor activity peak (Liang et al., 2016; Liang et al., 2017; Delventhal et al., 2019) and display a morning neural activity peak that precedes this increased locomotor activity (Liang et al., 2016).""}']"
FBbt:00003764	s-LNv Pdf neuron	FBgn0036260	Rh7	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0231110"",""FlyBase:FBrf0235909"",""FlyBase:FBrf0193849"",""FlyBase:FBrf0243753"",""FlyBase:FBrf0191052"",""FlyBase:FBrf0225654"",""FlyBase:FBrf0226303"",""FlyBase:FBrf0179342"",""FlyBase:FBrf0246021"",""FlyBase:FBrf0209462""]},""value"":""Adult s-LNv neuron that expresses Pdf (FBgn0023178). There are four of these in each ventral cluster of LNs. Short, fine fibers lacking presynaptic sites contact the accessory medulla, whilst longer processes project toward the dorsal protocerebrum and terminate dorsofrontal to the mushroom body calyx close to the pars lateralis and close to the DN2 neurons (Helfrich-Forster et al., 2007). Thes dorsal arbors contain both pre- and postsynaptic connections, including reciprocal connections to DN1p neurons (Yasuyama and Meinertzhagen, 2010, Fernandez et al., 2020), and their morphology and connectivity vary throughout the day (Gorostiza et al., 2014). Pdf rich dense-synaptic vesicles accumulate in terminal varicosities in these cells, but are not associated with presynaptic sites (Miskiewicz et al., 2004; Yasuyama and Meinertzhagen, 2010). They can be observed docked at the plasma membrane, suggesting paracrine release of Pdf. They drive the morning locomotor activity peak (Liang et al., 2016; Liang et al., 2017; Delventhal et al., 2019) and display a morning neural activity peak that precedes this increased locomotor activity (Liang et al., 2016).""}']"
FBbt:00003765	Pdf neuron close to calyx	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121"",""FlyBase:FBrf0065419""]},""value"":""Neuron of the adult brain that expresses Pdf and whose soma is located dorsoanterior to the calyx of the mushroom body. Its branches extend ventrally into the dorsal esophageal foramen. There are between 4-8 neurons in each hemisphere.""}']"
FBbt:00003766	Pdf neuron close to tritocerebrum	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0238423"",""FlyBase:FBrf0093121""]},""value"":""Neuron with its soma located anteroventrally in the adult tritocerebrum that expresses Pdf (FBgn0023178) strongly until 24hrs after eclosion, after which Pdf immunoreactivity in the soma disappears (Helfrich-Forster, 1997). Within 2-4 days post-eclosion, Pdf immunoreactivity is also lost from the arborizations (Helfrich-Forster, 1997). There are 1-2 bilateral pairs of these in the pharate and newly-eclosed adult (Selcho et al., 2018). They arborize in the medial tritocerebrum around the periesophageal neuropils and in the gnathal ganglion, a varicose branch extends dorsally, via the median bundle, to the superior medial protocerebrum (Selcho et al., 2018). It has presynapses, postsynapses and peptidergic (Pdf) release sites in the subesophageal zone and the superior medial protocerebrum (Selcho et al., 2018).""}']"
FBbt:00004011	insulin secreting cell of pars intercerebralis	FBgn0036046	Ilp2	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0224974"",""FlyBase:FBrf0134726"",""FlyBase:FBrf0149175"",""FlyBase:FBrf0212696"",""FlyBase:FBrf0136823"",""FlyBase:FBrf0151837"",""FlyBase:FBrf0193772"",""FlyBase:FBrf0184236""]},""value"":""Insulin-producing neuron with a cell body in the pars intercerebralis. These cells coexpress the genes Insulin-like peptide (Ilp) 2, Ilp3 and Ilp5.""}']"
FBbt:00004100	Pdf neuron of abdominal neuromere	FBgn0023178	Pdf	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0093121""]},""value"":""Pdf positive neuron whose soma is located in the cortex of the fused adult abdominal ganglia. There are 4-6 of these, all of which project posteriorly, fasciculating with the abdominal nerve trunk.""}']"
FBbt:00006028	larval Eh neurosecretory neuron	FBgn0000564	Eh	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0098847"",""FlyBase:FBrf0249161"",""FlyBase:FBrf0134726"",""FlyBase:FBrf0058431""]},""value"":""Larval neuron that expresses eclosion hormone (Eh). There is one of these in each hemisphere, with its soma in the tritocerebrum (Horodyski et al., 1993; Siegmund and Korge, 2001). Branches extend anteriorly and posteriorly, spanning the entire length of the central nervous system (Horodyski et al., 1993; Siegmund and Korge, 2001). It synapses onto other ring gland projection neurons and neurons in the ventral nerve cord that may be involved in ecdysis motor programs (Huckesfeld et al., 2021). Another branch extends posteriorly, then anteriorly, and follows the nervus corporis cardiaci to the ring gland, where it has peptide release sites in the corpus cardiacum and the aorta (Siegmund and Korge, 2001; Huckesfeld et al., 2021). It releases Eh around the time of ecdysis (Horodyski et al., 1993).""}']"
FBbt:00007429	DN1a neuron	FBgn0003068	per	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246456"",""FlyBase:FBrf0253505"",""FlyBase:FBrf0246007"",""FlyBase:FBrf0240127"",""FlyBase:FBrf0218423"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0246460"",""FlyBase:FBrf0152101""]},""value"":""Adult DN1 neuron with its soma in the anterior superior brain, dorsal to the superior lateral protocerebrum (SLP) (Shafer et al., 2006; Reinhard et al., 2022). It is glutamatergic and also expresses Nplp1 (IPNamide) and CCHamide1 (Shafer et al., 2006; Collins et al., 2012; Fujiwara et al., 2018; Reinhard et al., 2022). It arborizes ipsilaterally in the ventromedial posterior lateral horn and the lateral and dorsal mushroom body accessory calyces with mixed pre- and post-synaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A ventral projection extends to the posterior optic commissure and follows it laterally, reaching the accessory medulla, where it has mainly presynaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A large amount of input is from the thermosensory VP3 vPN and VP2 adPN neurons (Marin et al., 2020; Alpert et al., 2020). Activity of the cold-responsive VP3 vPN has a strong inhibitory effect on DN1a (Alpert et al., 2020). There are two of these cells per hemisphere and they are primary neurons (Shafer et al., 2006; Bates et al., 2020). One of these cells per hemisphere additionally extends a branch dorsally into the SLP (Reinhard et al., 2022).""}']"
FBbt:00007429	DN1a neuron	FBgn0004618	gl	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246456"",""FlyBase:FBrf0253505"",""FlyBase:FBrf0246007"",""FlyBase:FBrf0240127"",""FlyBase:FBrf0218423"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0246460"",""FlyBase:FBrf0152101""]},""value"":""Adult DN1 neuron with its soma in the anterior superior brain, dorsal to the superior lateral protocerebrum (SLP) (Shafer et al., 2006; Reinhard et al., 2022). It is glutamatergic and also expresses Nplp1 (IPNamide) and CCHamide1 (Shafer et al., 2006; Collins et al., 2012; Fujiwara et al., 2018; Reinhard et al., 2022). It arborizes ipsilaterally in the ventromedial posterior lateral horn and the lateral and dorsal mushroom body accessory calyces with mixed pre- and post-synaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A ventral projection extends to the posterior optic commissure and follows it laterally, reaching the accessory medulla, where it has mainly presynaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A large amount of input is from the thermosensory VP3 vPN and VP2 adPN neurons (Marin et al., 2020; Alpert et al., 2020). Activity of the cold-responsive VP3 vPN has a strong inhibitory effect on DN1a (Alpert et al., 2020). There are two of these cells per hemisphere and they are primary neurons (Shafer et al., 2006; Bates et al., 2020). One of these cells per hemisphere additionally extends a branch dorsally into the SLP (Reinhard et al., 2022).""}']"
FBbt:00007429	DN1a neuron	FBgn0014396	tim	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246456"",""FlyBase:FBrf0253505"",""FlyBase:FBrf0246007"",""FlyBase:FBrf0240127"",""FlyBase:FBrf0218423"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0246460"",""FlyBase:FBrf0152101""]},""value"":""Adult DN1 neuron with its soma in the anterior superior brain, dorsal to the superior lateral protocerebrum (SLP) (Shafer et al., 2006; Reinhard et al., 2022). It is glutamatergic and also expresses Nplp1 (IPNamide) and CCHamide1 (Shafer et al., 2006; Collins et al., 2012; Fujiwara et al., 2018; Reinhard et al., 2022). It arborizes ipsilaterally in the ventromedial posterior lateral horn and the lateral and dorsal mushroom body accessory calyces with mixed pre- and post-synaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A ventral projection extends to the posterior optic commissure and follows it laterally, reaching the accessory medulla, where it has mainly presynaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A large amount of input is from the thermosensory VP3 vPN and VP2 adPN neurons (Marin et al., 2020; Alpert et al., 2020). Activity of the cold-responsive VP3 vPN has a strong inhibitory effect on DN1a (Alpert et al., 2020). There are two of these cells per hemisphere and they are primary neurons (Shafer et al., 2006; Bates et al., 2020). One of these cells per hemisphere additionally extends a branch dorsally into the SLP (Reinhard et al., 2022).""}']"
FBbt:00007429	DN1a neuron	FBgn0035092	Nplp1	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246456"",""FlyBase:FBrf0253505"",""FlyBase:FBrf0246007"",""FlyBase:FBrf0240127"",""FlyBase:FBrf0218423"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0246460"",""FlyBase:FBrf0152101""]},""value"":""Adult DN1 neuron with its soma in the anterior superior brain, dorsal to the superior lateral protocerebrum (SLP) (Shafer et al., 2006; Reinhard et al., 2022). It is glutamatergic and also expresses Nplp1 (IPNamide) and CCHamide1 (Shafer et al., 2006; Collins et al., 2012; Fujiwara et al., 2018; Reinhard et al., 2022). It arborizes ipsilaterally in the ventromedial posterior lateral horn and the lateral and dorsal mushroom body accessory calyces with mixed pre- and post-synaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A ventral projection extends to the posterior optic commissure and follows it laterally, reaching the accessory medulla, where it has mainly presynaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A large amount of input is from the thermosensory VP3 vPN and VP2 adPN neurons (Marin et al., 2020; Alpert et al., 2020). Activity of the cold-responsive VP3 vPN has a strong inhibitory effect on DN1a (Alpert et al., 2020). There are two of these cells per hemisphere and they are primary neurons (Shafer et al., 2006; Bates et al., 2020). One of these cells per hemisphere additionally extends a branch dorsally into the SLP (Reinhard et al., 2022).""}']"
FBbt:00007429	DN1a neuron	FBgn0038199	CCHa1	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0246456"",""FlyBase:FBrf0253505"",""FlyBase:FBrf0246007"",""FlyBase:FBrf0240127"",""FlyBase:FBrf0218423"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0246460"",""FlyBase:FBrf0152101""]},""value"":""Adult DN1 neuron with its soma in the anterior superior brain, dorsal to the superior lateral protocerebrum (SLP) (Shafer et al., 2006; Reinhard et al., 2022). It is glutamatergic and also expresses Nplp1 (IPNamide) and CCHamide1 (Shafer et al., 2006; Collins et al., 2012; Fujiwara et al., 2018; Reinhard et al., 2022). It arborizes ipsilaterally in the ventromedial posterior lateral horn and the lateral and dorsal mushroom body accessory calyces with mixed pre- and post-synaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A ventral projection extends to the posterior optic commissure and follows it laterally, reaching the accessory medulla, where it has mainly presynaptic terminals (Bates et al., 2020; Marin et al., 2020; Reinhard et al., 2022). A large amount of input is from the thermosensory VP3 vPN and VP2 adPN neurons (Marin et al., 2020; Alpert et al., 2020). Activity of the cold-responsive VP3 vPN has a strong inhibitory effect on DN1a (Alpert et al., 2020). There are two of these cells per hemisphere and they are primary neurons (Shafer et al., 2006; Bates et al., 2020). One of these cells per hemisphere additionally extends a branch dorsally into the SLP (Reinhard et al., 2022).""}']"
FBbt:00007432	adult LP neuron	FBgn0003068	per	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0187530"",""FlyBase:FBrf0241449"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0253200"",""FlyBase:FBrf0183981"",""FlyBase:FBrf0241130""]},""value"":""Adult period-expressing neuron with its soma in the cell body rind of the posterior lateral protocerebrum, medial to the LNd cluster (Shafer et al., 2006; Helfrich-Forster, 2005; Reinhard et al., 2022). Its neurite bifurcates in the superior clamp, sending branches to the superior lateral and superior medial protocerebra, where it arborizes (Reinhard et al., 2022). It is glutamatergic and expresses the Allatostatin A, Allatostatin C and Diuretic hormone 31 neuropeptides at varying levels throughout the day (Diaz et al., 2019; Ni et al., 2019; Reinhard et al., 2022). It is involved in regulation of circadian sleep and activity levels (Ni et al., 2019; Reinhard et al., 2022). There are around three of these cells per hemisphere, with one having a slightly broader arborization pattern and a different connectivity profile compared to the other two (Reinhard et al., 2022).""}']"
FBbt:00007432	adult LP neuron	FBgn0014396	tim	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0187530"",""FlyBase:FBrf0241449"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0253200"",""FlyBase:FBrf0183981"",""FlyBase:FBrf0241130""]},""value"":""Adult period-expressing neuron with its soma in the cell body rind of the posterior lateral protocerebrum, medial to the LNd cluster (Shafer et al., 2006; Helfrich-Forster, 2005; Reinhard et al., 2022). Its neurite bifurcates in the superior clamp, sending branches to the superior lateral and superior medial protocerebra, where it arborizes (Reinhard et al., 2022). It is glutamatergic and expresses the Allatostatin A, Allatostatin C and Diuretic hormone 31 neuropeptides at varying levels throughout the day (Diaz et al., 2019; Ni et al., 2019; Reinhard et al., 2022). It is involved in regulation of circadian sleep and activity levels (Ni et al., 2019; Reinhard et al., 2022). There are around three of these cells per hemisphere, with one having a slightly broader arborization pattern and a different connectivity profile compared to the other two (Reinhard et al., 2022).""}']"
FBbt:00007432	adult LP neuron	FBgn0015591	AstA	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0187530"",""FlyBase:FBrf0241449"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0253200"",""FlyBase:FBrf0183981"",""FlyBase:FBrf0241130""]},""value"":""Adult period-expressing neuron with its soma in the cell body rind of the posterior lateral protocerebrum, medial to the LNd cluster (Shafer et al., 2006; Helfrich-Forster, 2005; Reinhard et al., 2022). Its neurite bifurcates in the superior clamp, sending branches to the superior lateral and superior medial protocerebra, where it arborizes (Reinhard et al., 2022). It is glutamatergic and expresses the Allatostatin A, Allatostatin C and Diuretic hormone 31 neuropeptides at varying levels throughout the day (Diaz et al., 2019; Ni et al., 2019; Reinhard et al., 2022). It is involved in regulation of circadian sleep and activity levels (Ni et al., 2019; Reinhard et al., 2022). There are around three of these cells per hemisphere, with one having a slightly broader arborization pattern and a different connectivity profile compared to the other two (Reinhard et al., 2022).""}']"
FBbt:00007432	adult LP neuron	FBgn0032048	Dh31	"['{""annotations"":{""database_cross_reference"":[""FlyBase:FBrf0187530"",""FlyBase:FBrf0241449"",""FlyBase:FBrf0195358"",""FlyBase:FBrf0253200"",""FlyBase:FBrf0183981"",""FlyBase:FBrf0241130""]},""value"":""Adult period-expressing neuron with its soma in the cell body rind of the posterior lateral protocerebrum, medial to the LNd cluster (Shafer et al., 2006; Helfrich-Forster, 2005; Reinhard et al., 2022). Its neurite bifurcates in the superior clamp, sending branches to the superior lateral and superior medial protocerebra, where it arborizes (Reinhard et al., 2022). It is glutamatergic and expresses the Allatostatin A, Allatostatin C and Diuretic hormone 31 neuropeptides at varying levels throughout the day (Diaz et al., 2019; Ni et al., 2019; Reinhard et al., 2022). It is involved in regulation of circadian sleep and activity levels (Ni et al., 2019; Reinhard et al., 2022). There are around three of these cells per hemisphere, with one having a slightly broader arborization pattern and a different connectivity profile compared to the other two (Reinhard et al., 2022).""}']"
