bodyid,pre,type,species,region,hemilineage,neurotransmitter_verified,neurotransmitter_verified_source,neurotransmitter_verified_evidence,neurotransmitter_verified_confidence
5813022469,142,AOTU007,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
799868224,541,AOTU019,adult_drosophila_melanogaster,central_brain,putative_primary,gaba,"Collie et al., 2025",FISH,3
1605518663,2111,AOTU019,adult_drosophila_melanogaster,central_brain,putative_primary,gaba,"Collie et al., 2025",FISH,3
799521639,445,AOTU024,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
892294329,777,AOTU025,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
861937730,781,AOTU026,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
830915321,549,AOTU027,adult_drosophila_melanogaster,central_brain,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
737832306,471,AOTU029,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
861583205,325,AOTU030,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813123804,1,AOTU036,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1200942398,113,AOTU037,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1571859076,107,AOTU037,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
883790186,49,AOTU038,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953319814,59,AOTU038,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
981306774,55,AOTU038,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1012341321,58,AOTU038,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
981306568,58,AOTU039,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1013019093,63,AOTU039,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1170891789,66,AOTU039,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1483679759,65,AOTU039,adult_drosophila_melanogaster,central_brain,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
757538997,272,AOTU044,adult_drosophila_melanogaster,optic_lobe,VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
757880474,263,AOTU044,adult_drosophila_melanogaster,optic_lobe,VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1036149761,289,AOTU044,adult_drosophila_melanogaster,optic_lobe,VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5812980457,288,AOTU044,adult_drosophila_melanogaster,optic_lobe,VLPd&p1_posterior,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
425790257,16190,APL,adult_drosophila_melanogaster,central_brain,putative_primary,gaba,"Aso et al., 2019",scRNA-seq,3
425790257,16190,APL,adult_drosophila_melanogaster,central_brain,putative_primary,gaba,Liu et al. 2009,immuno,5
974995783,882,ATL042,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,"Chiang et al., 2011",MCFO,3
1036987921,1303,ATL042,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,"Chiang et al., 2011",MCFO,3
390616420,103,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
1074678938,191,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
1198504136,175,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
1229538338,209,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
5812989557,233,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
5813009518,276,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
5813054421,231,AVLP026,adult_drosophila_melanogaster,central_brain,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
885163107,598,AVLP033,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
917527702,243,AVLP034,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
796733296,447,AVLP035,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
828830111,346,AVLP039,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
891582311,317,AVLP039,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813021637,274,AVLP039,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
642262407,336,AVLP040,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
642263196,235,AVLP040,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
829155062,459,AVLP040,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5812983519,483,AVLP040,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
950928506,461,AVLP041,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
950233506,348,AVLP042,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
764339062,484,AVLP043,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
796061060,429,AVLP043,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
765034172,236,AVLP045,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
765034172,236,AVLP045,adult_drosophila_melanogaster,central_brain,NA,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
857788501,233,AVLP045,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
857788501,233,AVLP045,adult_drosophila_melanogaster,central_brain,NA,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
922608418,218,AVLP045,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
922608418,218,AVLP045,adult_drosophila_melanogaster,central_brain,NA,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953302667,210,AVLP045,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953302667,210,AVLP045,adult_drosophila_melanogaster,central_brain,NA,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
767084239,326,AVLP046,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
828477488,362,AVLP046,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
798114519,246,AVLP047,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
827794325,253,AVLP047,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953306312,239,AVLP047,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
515718803,265,AVLP048,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
766388652,249,AVLP048,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
890191937,150,AVLP049,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
919850789,204,AVLP049,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
859507725,114,AVLP050,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953639677,102,AVLP050,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813021562,118,AVLP050,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953635591,194,AVLP051,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
953639837,208,AVLP051,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
983663810,188,AVLP051,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
828485538,167,AVLP055,adult_drosophila_melanogaster,central_brain,VLPd&p1_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
889190744,218,AVLP055,adult_drosophila_melanogaster,central_brain,VLPd&p1_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
889190964,155,AVLP055,adult_drosophila_melanogaster,central_brain,VLPd&p1_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1535471736,807,AVLP282,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1597213470,739,AVLP282,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1478487190,625,AVLP283,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1541242980,549,AVLP283,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1196816048,448,AVLP284,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5901219180,562,AVLP286,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1226789202,403,AVLP287,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1383016399,451,AVLP287,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1289213295,391,AVLP288,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1380979698,415,AVLP288,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1389142287,932,AVLP290,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1419136775,1325,AVLP290,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813108983,981,AVLP290,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1445130240,336,AVLP292,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1569519432,361,AVLP292,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1450167207,297,AVLP293,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1542237002,261,AVLP293,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5901195292,245,AVLP293,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1137499637,685,AVLP294,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1167118856,441,AVLP294,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1229197633,662,AVLP294,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
978855713,311,AVLP295,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1290253312,380,AVLP295,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
735733975,469,AVLP297,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1138518446,557,AVLP297,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1354368623,471,AVLP297,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1479156699,405,AVLP297,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1512587785,377,AVLP297,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1480171213,197,AVLP298,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1540877021,234,AVLP298,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5812991176,255,AVLP298,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1226793835,412,AVLP299_a,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1352315133,403,AVLP299_a,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
2376180863,374,AVLP299_a,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1166778367,458,AVLP299_b,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813069489,419,AVLP299_b,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5901219320,470,AVLP299_b,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1383379730,463,AVLP299_c,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813056622,412,AVLP299_c,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1168193427,367,AVLP300_a,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1228860966,412,AVLP300_a,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1260237061,338,AVLP300_b,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1260237339,356,AVLP300_b,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1507812837,359,AVLP303,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1419136956,308,AVLP304,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1447093754,333,AVLP304,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
950885567,306,AVLP305,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1448142556,372,AVLP306,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1511240113,412,AVLP306,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
950544340,376,AVLP308,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1757797015,339,AVLP308,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1136788088,279,AVLP309,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1669125322,236,AVLP309,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1414712300,360,AVLP310,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1570901776,282,AVLP310,adult_drosophila_melanogaster,central_brain,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
979286788,276,AVLP312,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
981627104,238,AVLP312,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
981976338,264,AVLP312,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
5901193389,194,AVLP313,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
764727525,517,AVLP446,adult_drosophila_melanogaster,central_brain,ALv1,gaba,"Dolan et al., 2019",immuno,5
761325477,533,AVLP447,adult_drosophila_melanogaster,central_brain,ALv1,gaba,"Dolan et al., 2019",immuno,5
1288953551,447,AVLP460,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1413744837,163,AVLP462,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1445112287,145,AVLP462,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1753195131,148,AVLP462,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1352676969,3972,AVLP476,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,"Chiang et al., 2011",MCFO,3
5813057579,7502,AVLP538,adult_drosophila_melanogaster,central_brain,putative_primary,serotonin,"Chiang et al., 2011",MCFO,3
1532034864,2667,AVLP544,adult_drosophila_melanogaster,central_brain,putative_primary,serotonin,"Chiang et al., 2011",MCFO,3
973436416,129,AVLP560,adult_drosophila_melanogaster,central_brain,VPNp&v1_posterior,acetylcholine,"Dolan et al., 2019",immuno,5
917553030,443,AVLP567,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1075443614,353,AVLP567,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
642629807,301,AVLP568,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1292022825,181,AVLP569,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1351679002,235,AVLP569,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
642629827,148,AVLP570,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1044071833,134,AVLP570,adult_drosophila_melanogaster,central_brain,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1385433981,299,AVLP579,adult_drosophila_melanogaster,central_brain,VLPp2,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
5813033712,322,AVLP579,adult_drosophila_melanogaster,central_brain,VLPp2,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
362473525,4730,AstA1,adult_drosophila_melanogaster,central_brain,putative_primary,glutamate,Ni et al. 2019,RNAi,1
5813069859,3719,AstA1,adult_drosophila_melanogaster,central_brain,putative_primary,glutamate,Ni et al. 2019,RNAi,1
854106922,396,CL004,adult_drosophila_melanogaster,central_brain,SLPal1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
914130079,418,CL004,adult_drosophila_melanogaster,central_brain,SLPal1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
885495731,156,CL005,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
947233211,194,CL005,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
729007988,171,CL006,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
732082028,196,CL006,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
792800570,165,CL006,adult_drosophila_melanogaster,central_brain,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
454347237,455,CL022,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
829162792,526,CL022,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
1102761868,534,CL022,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
608840926,172,CL023,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
639875892,224,CL023,adult_drosophila_melanogaster,central_brain,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
952642507,338,CL033,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,Mao and Davis 2009,immuno,5
952978874,342,CL033,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,Mao and Davis 2009,immuno,5
1164131530,2961,CL033,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,Mao and Davis 2009,immuno,5
1379644459,2750,CL033,adult_drosophila_melanogaster,central_brain,putative_primary,dopamine,Mao and Davis 2009,immuno,5
603444300,513,CL098,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
977727797,271,CL098,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
735371535,313,CL099,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
789623676,284,CL099,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
796098427,288,CL099,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
1041015097,311,CL099,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
1102407589,349,CL099,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
760971727,274,CL100,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
1354972766,304,CL100,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
791677863,262,CL101,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
1006859972,154,CL101,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
448576577,286,CL102,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
479607277,186,CL102,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
823058013,192,CL104,adult_drosophila_melanogaster,central_brain,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
921935459,701,CL114,adult_drosophila_melanogaster,central_brain,ALv1,gaba,"Ito et al., 2013",immuno,5
1500844839,231,CL116,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1319655556,155,CL118,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1443450601,181,CL118,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
5813038332,188,CL118,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1475477547,139,CL120,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
1540962734,125,CL120,adult_drosophila_melanogaster,central_brain,PSa1,gaba,"Ito et al., 2013",immuno,5
