species,region,cell_type,hemilineage,neurotransmitter_verified,neurotransmitter_verified_source,neurotransmitter_verified_evidence,neurotransmitter_verified_confidence
adult_drosophila_melanogaster,neck_connective,AN02A005,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A009,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A016,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A017,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A022,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A025,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN02A046,02A,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN03A002,03A,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN03A008,03A,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN04B001,04B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN04B003,04B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN04B004,04B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN04B023,04B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN04B051,04B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B004,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B005,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B006,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B007,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B009,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B010,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B015,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B017,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B021,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B023,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B024,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B025,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B026,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B027,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B029,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B035,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B036,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B040,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B044,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B045,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B046,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B047,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B048,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B049,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B050,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B052,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B053,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B054,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B056,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B058,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B059,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B060,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B062,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B063,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B067,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B068,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B069,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B071,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B076,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B078,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B081,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN05B101,05B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A010,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A015,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A016,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A017,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A018,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A026,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A041,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A060,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A062,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A080,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A092,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A095,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06A112,06A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B002,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B004,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B005,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B007,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B009,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B012,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B014,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B015,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B023,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B025,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B026,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B031,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B034,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B037,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B039,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B040,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B042,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B044,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B045,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B046,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B048,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B051,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B057,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B068,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN06B075,06B,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B003,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B004,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B005,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B011,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B015,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B018,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B021,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B024,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B025,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B032,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B035,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B036,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B037,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B040,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B041,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B042,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B043,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B045,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B046,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B049,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B050,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B051,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B052,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B056,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B057,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B060,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B062,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B063,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B069,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B070,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B071,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B072,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B076,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B078,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B082,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B085,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B088,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B089,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B091,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B097,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B100,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN07B101,07B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B005,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B009,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B010,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B012,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B013,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B014,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B015,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B018,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B020,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B022,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B023,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B024,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B025,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B026,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B027,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B028,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B031,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B032,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B034,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B035,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B041,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B043,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B047,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B048,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B049,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B050,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B053,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B057,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B059,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B061,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B066,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B069,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B071,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B074,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B079,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B081,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B084,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B086,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B089,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B094,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B095,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B096,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B097,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B098,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B099,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B100,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B101,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B102,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B103,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B106,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B107,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B109,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B110,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B111,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B112,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN08B113,08B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09A007,09A,gaba,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B017,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B021,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B028,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B030,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B032,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B035,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B040,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN09B044,09B,glutamate,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B005,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B008,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B009,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B015,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B017,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B018,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B019,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B020,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B021,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B022,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B024,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B026,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B027,10B,acetylcholine,"Lacin et al., 2019",FISH,3
adult_drosophila_melanogaster,neck_connective,AN10B029,10B,acetylcholine,"Lacin et al., 2019",FISH,3
