species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,AOTU025,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU026,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU027,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU030,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU036,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU037,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU038,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTU039,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3B_M01,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3B_P01,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3B_P02,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3B_P06,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3_dorsal_26,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3_dorsal_36,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3_dorsal_37,AOTUv3_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv3_ventral_31,AOTUv3_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv4B_P02,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv4_dorsal_26,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AOTUv4_dorsal_30,AOTUv4_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,APDN3,SLPpl1,gaba-negative,"Ito et al., 2013","lineage, based",2
adult_drosophila_melanogaster,midbrain,APDN3,SLPpl1,glutamate,"Sun et al., 2022",immuno,5
adult_drosophila_melanogaster,midbrain,APL,putative_primary,gaba,"Aso et al., 2019",scRNA-seq,3
adult_drosophila_melanogaster,midbrain,APL,putative_primary,gaba,Liu et al. 2009,immuno,5
adult_drosophila_melanogaster,midbrain,ATL042,putative_primary,dopamine,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,AVLP026,SLPal2,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP033,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP034,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP035,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"AVLP037,AVLP038",VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP039,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP040,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP041,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP042,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP043,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP044a,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP044b,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP045,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP046,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP047,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP048,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP049,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP050,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP051,VLPd1,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP055,VLPd&p1_dorsal,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP282,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP283,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP284,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP286,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP287,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP288,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP290a,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP290b,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP292,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP293,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP294,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP295,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP297,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP298,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP299_a,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP299_b,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP299_c,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP300_a,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP300_b,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP303,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP304,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP305,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP306,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP308,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP309a,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP309b,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP310a,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP310b,VLPa1_lateral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP312a,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
adult_drosophila_melanogaster,midbrain,AVLP312b,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
adult_drosophila_melanogaster,midbrain,AVLP313,SLPav1_medial,gaba-negative,"Ito et al., 2013","lineage, based",2
adult_drosophila_melanogaster,midbrain,AVLP446,ALv1,gaba,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP447,ALv1,gaba,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP460,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP462a,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP462b,PSa1,gaba,"Ito et al., 2013",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP476,putative_primary,dopamine,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,AVLP538,putative_primary,serotonin,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,AVLP544,putative_primary,serotonin,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,AVLP560,VPNp&v1_posterior,acetylcholine,"Dolan et al., 2019",immuno,5
adult_drosophila_melanogaster,midbrain,AVLP567,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP568,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP569,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP570,DL2_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AVLP579,VLPp2,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,AstA1,putative_primary,glutamate,Ni et al. 2019,RNAi,1
adult_drosophila_melanogaster,optic_lobes,C2,NA,gaba,"Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,optic_lobes,C3,NA,"gaba, nitric oxide","Davis et al., 2020",TAPIN,4
adult_drosophila_melanogaster,midbrain,CB.FB1E1,DL1_dorsal,"acetylcholine, glutamate, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB1H0,DM6__prim,"dopamine, glutamate-negative, acetylcholine-negative, gaba-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB1I0,LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E1,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E10,DL1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E2,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E3,DL1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E4,DL1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E5,DL1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E6,DL1_dorsal,glutamate,ASB,educated guess,0
adult_drosophila_melanogaster,midbrain,CB.FB2E8,DL1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2E9,DL1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2G0,DM4_dorsal,"acetylcholine, glutamate-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2H0,DM6__prim,dopamine,"Hulse et al., 2020",immuno,5
adult_drosophila_melanogaster,midbrain,CB.FB2H0,DM6__prim,"dopamine, glutamate-negative, acetylcholine-negative, gaba-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2I1,LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2I2,LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K0,CREa2_medial,tyramine,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,CB.FB2K0,CREa1_dorsal,tyramine,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,CB.FB2K0,CREa2_medial,"tyramine, serotonin, glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K0,CREa1_dorsal,"tyramine, serotonin, glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K1,CREa2_medial,tyramine,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,CB.FB2K1,CREa1_dorsal,tyramine,"Chiang et al., 2011",MCFO,3
adult_drosophila_melanogaster,midbrain,CB.FB2K1,CREa2_medial,"tyramine, serotonin, glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB2K1,CREa1_dorsal,"tyramine, serotonin, glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A0",putative_primary,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A1",putative_primary,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A10",DM6__prim,dopamine,"Hulse et al., 2020",immuno,5
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A10",DM6__prim,"dopamine, serotonin, glutamate-negative, acetylcholine-negative, gaba-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A2",DM6_dorso_medial,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A21",DM6__prim,dopamine,"Hulse et al., 2020",immuno,5
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A21",DM6__prim,"dopamine, tyramine",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A3",NA,"acetylcholine, glutamate",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4A9",DM6__prim,"serotonin, glutamate-negative, acetylcholine-negative, gaba-negative, dopamine-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D0",AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D0",NA,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D0",AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D1",AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D1",AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D2",AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D2",AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D3",AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D3",AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D4",AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,"CB.FB3,4D4",AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I0",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I1",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I2",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I3",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I5",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I6",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I7",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I8",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4I9",LALv1_dorsal,"glutamate, acetylcholine-negative, gaba-negative, dopamine-negative, serotonin-negative, tyramine-negative, octopamine-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"CB.FB3,4L0",EBa1,gaba,"Ito et al., 2014",immuno,5
adult_drosophila_melanogaster,midbrain,"CB.FB3,4L1",EBa1,gaba,"Ito et al., 2014",immuno,5
adult_drosophila_melanogaster,midbrain,"CB.FB3,4L1",EBa1,"gaba, acetylcholine-negative, glutamate-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5B0,DM6_dorso_medial,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5B1,DM6_dorso_medial,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5C0,SIPp1,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5C0,SIPp1,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5D0,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D1,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D10,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D2,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D2,AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5D3,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D3,AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5D4,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D4,AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,CB.FB5D5,AOTUv4_ventral,gaba-negative,"Ito et al., 2013","immuno, lineage based",2
adult_drosophila_melanogaster,midbrain,CB.FB5D5,AOTUv4_ventral,"glutamate, acetylcholine-negative, gaba-negative",Janelia,EASI-FISH,4
